Rating Star,Title,Body,Star only,Body with star
5.0 out of 5 stars,Louder than you think. Very impressive sound quality!,Buy this product and you won't be disappointed... by the price or the quality! Awesome find!!,5 stars,5 stars. Louder than you think. Very impressive sound quality!. Buy this product and you won't be disappointed... by the price or the quality! Awesome find!!
5.0 out of 5 stars,Nice holder with good sound.,The speaker for this sounds great! I was very surprised and happy with this.,5 stars,5 stars. Nice holder with good sound.. The speaker for this sounds great! I was very surprised and happy with this.
5.0 out of 5 stars,Excellent sound for videos,Never heard of the brand. Surprisingly good sound for the price. Bought one for my mother in law!,5 stars,5 stars. Excellent sound for videos. Never heard of the brand. Surprisingly good sound for the price. Bought one for my mother in law!
5.0 out of 5 stars,No Issues!,My wife loves it! She has it on her work desk for business calls and sneaks in a YouTube video when possible. The Bluetooth connects easily.,5 stars,5 stars. No Issues!. My wife loves it! She has it on her work desk for business calls and sneaks in a YouTube video when possible. The Bluetooth connects easily.
5.0 out of 5 stars,Clear sound..,I watch movies on my phone and this little stand has made the experience so much better. The Bluetooth works well and the speakers are clear and loud.,5 stars,5 stars. Clear sound... I watch movies on my phone and this little stand has made the experience so much better. The Bluetooth works well and the speakers are clear and loud.
5.0 out of 5 stars,Turns out this is a pretty nifty item,"I bought this for my husband as a last-ditch attempt to find him a present that he could use and would work well for him, but I wasn't sure. It turns out that he really likes the ability to have the phone upright and out of his hands, the sound is really good (and his hearing aids have Blue Tooth availability as well). He also found that the Blue Tooth speaker ability is great for listening music when we're traveling away from home and in a hotel. We agree that the sound quality is great as well.",5 stars,"5 stars. Turns out this is a pretty nifty item. I bought this for my husband as a last-ditch attempt to find him a present that he could use and would work well for him, but I wasn't sure. It turns out that he really likes the ability to have the phone upright and out of his hands, the sound is really good (and his hearing aids have Blue Tooth availability as well). He also found that the Blue Tooth speaker ability is great for listening music when we're traveling away from home and in a hotel. We agree that the sound quality is great as well."
5.0 out of 5 stars,Great Gift Item!,Works as expected.,5 stars,5 stars. Great Gift Item!. Works as expected.
5.0 out of 5 stars,Best Buy!,"I love this speaker ! It does what I need it's louder then a lot of others on the market.
My classroom loves it!",5 stars,"5 stars. Best Buy!. I love this speaker ! It does what I need it's louder then a lot of others on the market.
My classroom loves it!"
5.0 out of 5 stars,Cellphone Speaker,"Was a gift, Nice , Sound Is Nice And Loud, And Clear, Holds Cellphone Good",5 stars,"5 stars. Cellphone Speaker. Was a gift, Nice , Sound Is Nice And Loud, And Clear, Holds Cellphone Good"
5.0 out of 5 stars,It's small and easy to use.,I like the operation of this item and it's mobile to use anywhere.,5 stars,5 stars. It's small and easy to use.. I like the operation of this item and it's mobile to use anywhere.
5.0 out of 5 stars,Great gift for my hubby!,"I got this for my husband because he always sits in the kitchen with me while I am cooking, so, now he sits there and watches his whatever on this stand! It is very useful!",5 stars,"5 stars. Great gift for my hubby!. I got this for my husband because he always sits in the kitchen with me while I am cooking, so, now he sits there and watches his whatever on this stand! It is very useful!"
5.0 out of 5 stars,Works great,"I bought this gift for my son in laws birthday. It came early and works great. Great sound, holds the phone well and he really loves it. So do the grandkids when they try and sneak it away from him. I am ordering another one for my husband",5 stars,"5 stars. Works great. I bought this gift for my son in laws birthday. It came early and works great. Great sound, holds the phone well and he really loves it. So do the grandkids when they try and sneak it away from him. I am ordering another one for my husband"
5.0 out of 5 stars,Repeat purchaser,"This speaker is compact and puts out a lot of sound.
I’m a repeat purchaser.",5 stars,"5 stars. Repeat purchaser. This speaker is compact and puts out a lot of sound.
I’m a repeat purchaser."
5.0 out of 5 stars,Works Great!!!,"Boosts the volume from my phone, works great!",5 stars,"5 stars. Works Great!!!. Boosts the volume from my phone, works great!"
5.0 out of 5 stars,It works!,"I lost the hearing in my left ear. I ordered this item and it came through quickly. Recommended by a friend. It works well - loud, the only issue is the cord is to short. It needs to be 2 or 3 times as long as I need to get it around to a small table on my left side. If I put it directly behind me, it splits the sound and I can hear well. It works great with videos. Very loud I haven’t figured out yet how to answer a call. I guess I will soon. One of the buttons magnifies the callers voice. If you put your cellphone on the tray, the sounds fills the whole room.",5 stars,"5 stars. It works!. I lost the hearing in my left ear. I ordered this item and it came through quickly. Recommended by a friend. It works well - loud, the only issue is the cord is to short. It needs to be 2 or 3 times as long as I need to get it around to a small table on my left side. If I put it directly behind me, it splits the sound and I can hear well. It works great with videos. Very loud I haven’t figured out yet how to answer a call. I guess I will soon. One of the buttons magnifies the callers voice. If you put your cellphone on the tray, the sounds fills the whole room."
5.0 out of 5 stars,Works Excellent!,"I bought this for my son who is hard of hearing. He loves it. After reading many reviews and for the price I thought, Why not. The bluetooth speaker gets really loud and the hands free stand is sturdy. I am not exactly sure how long the charge holds but I recommend this amazing tool. If this is an item you may have been thinking about purchasing for yourself or someone else, I say go for it!",5 stars,"5 stars. Works Excellent!. I bought this for my son who is hard of hearing. He loves it. After reading many reviews and for the price I thought, Why not. The bluetooth speaker gets really loud and the hands free stand is sturdy. I am not exactly sure how long the charge holds but I recommend this amazing tool. If this is an item you may have been thinking about purchasing for yourself or someone else, I say go for it!"
5.0 out of 5 stars,Great surprise,I am so glad I took a chance on this. It’s really a great little speaker for my phone to listen to music or movie or speak to someone while working in the kitchen. It has great volume for such a small unit. Worth the price.,5 stars,5 stars. Great surprise. I am so glad I took a chance on this. It’s really a great little speaker for my phone to listen to music or movie or speak to someone while working in the kitchen. It has great volume for such a small unit. Worth the price.
5.0 out of 5 stars,That it works,Great stand w speaker,5 stars,5 stars. That it works. Great stand w speaker
5.0 out of 5 stars,I'll,Wonderful products,5 stars,5 stars. I'll. Wonderful products
5.0 out of 5 stars,Love this,Works perfectly. Didn't realize how much I needed this. Great value.,5 stars,5 stars. Love this. Works perfectly. Didn't realize how much I needed this. Great value.
5.0 out of 5 stars,15 year old approved,Bought this as a present for my 15 year old son for his birthday. He said it was louder than some larger speakers he has. Awesome purchase for him.,5 stars,5 stars. 15 year old approved. Bought this as a present for my 15 year old son for his birthday. He said it was louder than some larger speakers he has. Awesome purchase for him.
5.0 out of 5 stars,So convenient!,"I bought this as a gift for my father. My parents are elderly and my mother doesn’t drive, so my father has to drive her to all of her appointments and whenever she wants to go shopping. He likes to stay in the car and read a book or watch TV on his phone, this allows him to hear better, plus he can set the phone down on the car dash on this stand and watch it at a comfortable angle for his neck.",5 stars,"5 stars. So convenient!. I bought this as a gift for my father. My parents are elderly and my mother doesn’t drive, so my father has to drive her to all of her appointments and whenever she wants to go shopping. He likes to stay in the car and read a book or watch TV on his phone, this allows him to hear better, plus he can set the phone down on the car dash on this stand and watch it at a comfortable angle for his neck."
5.0 out of 5 stars,For the price great gift, This was a father's day gift for apop like person in my life. I am a gadget techy person. So I tend to give those same types of gifts. I tried this and it was amazing I had it in my bedroom and walked in my living room about 45feet and still clearly heard the song. It was an easy Bluetooth set up. Just like you would any other Bluetooth device. The charger is standard USB to USB c. I would recommend a a gift and I will buy another one for myself as well.,5 stars,5 stars. For the price great gift.  This was a father's day gift for apop like person in my life. I am a gadget techy person. So I tend to give those same types of gifts. I tried this and it was amazing I had it in my bedroom and walked in my living room about 45feet and still clearly heard the song. It was an easy Bluetooth set up. Just like you would any other Bluetooth device. The charger is standard USB to USB c. I would recommend a a gift and I will buy another one for myself as well.
5.0 out of 5 stars,good!,i bought this for my mom and i regret it. she blasts her true crime through it every day and it’s SO loud 😭 she likes it tho and it works well 🙄,5 stars,5 stars. good!. i bought this for my mom and i regret it. she blasts her true crime through it every day and it’s SO loud 😭 she likes it tho and it works well 🙄
5.0 out of 5 stars,Husband approved,Purchased as a gift. Has good sound and he likes that it holds his phone for him too. Good buy!,5 stars,5 stars. Husband approved. Purchased as a gift. Has good sound and he likes that it holds his phone for him too. Good buy!
5.0 out of 5 stars,It works,Sound is good for the price.,5 stars,5 stars. It works. Sound is good for the price.
5.0 out of 5 stars,Perfect For Zoom Meetings,"I purchased this as a gift for someone who needed a way to position their phone for work related Zoom meetings. There are a number of solutions for holding phones at an angle of choice, but this is simply the best and easiest way. It's so easy to tilt the phone holder, and you don't have to swivel as this device can be picked up or slid to face any direction. It may not be as elegant as some elaborate phone holders, but it works the best with the least fuss. Also, the Bluetooth speaker offers better sound than phone speakers. My friend loves it.",5 stars,"5 stars. Perfect For Zoom Meetings. I purchased this as a gift for someone who needed a way to position their phone for work related Zoom meetings. There are a number of solutions for holding phones at an angle of choice, but this is simply the best and easiest way. It's so easy to tilt the phone holder, and you don't have to swivel as this device can be picked up or slid to face any direction. It may not be as elegant as some elaborate phone holders, but it works the best with the least fuss. Also, the Bluetooth speaker offers better sound than phone speakers. My friend loves it."
5.0 out of 5 stars,A gift for Hubby!,"He is on his phone constantly for work, so I got him this to make life a little easier!",5 stars,"5 stars. A gift for Hubby!. He is on his phone constantly for work, so I got him this to make life a little easier!"
5.0 out of 5 stars,Great Product!,Was very skeptical about just how much this product goes way beyond my expectations for sound quality easily connected to Bluetooth. Great product and worth the price!,5 stars,5 stars. Great Product!. Was very skeptical about just how much this product goes way beyond my expectations for sound quality easily connected to Bluetooth. Great product and worth the price!
5.0 out of 5 stars,Works great,This is amazing! Definitely does everything it says it will do. My husband literally uses it every single day and his frustration with his phone falling from his make shift stands is gone. The speaker is pretty good quality. Would definitely buy this again.,5 stars,5 stars. Works great. This is amazing! Definitely does everything it says it will do. My husband literally uses it every single day and his frustration with his phone falling from his make shift stands is gone. The speaker is pretty good quality. Would definitely buy this again.
5.0 out of 5 stars,Why didn't I know about this?,"I heard my music coming from another room and it was great. Not shattering but clear. And being able to use the phone without stopping my work, is brilliant! I'm an author and I write, even when the earth shakes. This was a great buy for me.",5 stars,"5 stars. Why didn't I know about this?. I heard my music coming from another room and it was great. Not shattering but clear. And being able to use the phone without stopping my work, is brilliant! I'm an author and I write, even when the earth shakes. This was a great buy for me."
5.0 out of 5 stars,Great,Works,5 stars,5 stars. Great. Works
5.0 out of 5 stars,Gift,This was a gift. They said they really liked it. They are watch a lot of you tube.,5 stars,5 stars. Gift. This was a gift. They said they really liked it. They are watch a lot of you tube.
5.0 out of 5 stars,Great Product,This is an awesome product,5 stars,5 stars. Great Product. This is an awesome product
5.0 out of 5 stars,Use daily,This was a great buy.,5 stars,5 stars. Use daily. This was a great buy.
5.0 out of 5 stars,Speak and cell phone holder,Speaker quality should be improved,5 stars,5 stars. Speak and cell phone holder. Speaker quality should be improved
5.0 out of 5 stars,Muy bueno,Es muy bueno se oye muy bien y es exelente material lo recomiendo al 100% gracias,5 stars,5 stars. Muy bueno. Es muy bueno se oye muy bien y es exelente material lo recomiendo al 100% gracias
5.0 out of 5 stars,Better than I imagined,"I saw this unit last week, and thought that I would give it a try after reading the reviews. And let me say it has not disappointed me! The sound quality is very good! I have not tested the battery life as of yet, but when I do, I will update my review! & Yes! I do recommend this product!",5 stars,"5 stars. Better than I imagined. I saw this unit last week, and thought that I would give it a try after reading the reviews. And let me say it has not disappointed me! The sound quality is very good! I have not tested the battery life as of yet, but when I do, I will update my review! & Yes! I do recommend this product!"
5.0 out of 5 stars,White elephant gift,This was a sought after gift and I will get again for another white elephant event,5 stars,5 stars. White elephant gift. This was a sought after gift and I will get again for another white elephant event
5.0 out of 5 stars,Great small device,"This was a gift for another person, they said it had great sound.",5 stars,"5 stars. Great small device. This was a gift for another person, they said it had great sound."
5.0 out of 5 stars,"Really, really good sound",Very compact and light weight with a superb sound and volume from a very small unit. Good quality construction and priced well below others of lesser quality!,5 stars,"5 stars. Really, really good sound. Very compact and light weight with a superb sound and volume from a very small unit. Good quality construction and priced well below others of lesser quality!"
5.0 out of 5 stars,I highly recommend great quality for the Price,I have absolutely enjoyed my Bluetooth phone stand ! After my friends seen Mines they fell in love with it and wanted me to order them one .I ended up ordering 4 ! Best item I've invested in all year !,5 stars,5 stars. I highly recommend great quality for the Price. I have absolutely enjoyed my Bluetooth phone stand ! After my friends seen Mines they fell in love with it and wanted me to order them one .I ended up ordering 4 ! Best item I've invested in all year !
5.0 out of 5 stars,Great gift!,I got this as a gift for my hubby’s birthday. He loves it & says the sound is really good!,5 stars,5 stars. Great gift!. I got this as a gift for my hubby’s birthday. He loves it & says the sound is really good!
5.0 out of 5 stars,Speaker,Speaker get loud . I love it.,5 stars,5 stars. Speaker. Speaker get loud . I love it.
5.0 out of 5 stars,Perfect for what I needed!,"Came charged so I was able to test it right away with my Spotify playlist it has good bass, it does get loud and for those who are saying it doesn't have good skid ... there's a clear film over the top of the two strips of skid just take that clear film off and then you won't be able to move it at all, if you try sliding it left/right & forward/back. Is an excellent little gizmo for the price. I recommend it 100% And I really appreciate that it came charged. Very easy to use. It fit my Android phone vertically or horizontally perfectly and I'm not concerned that it'll slip off. Perfect for blaring my music while I'm showering, or to take to work out in my garage. I love it! :)
Get it !!! A great gift idea for any music lover (or for viewing on a cell ph), hands free.",5 stars,"5 stars. Perfect for what I needed!. Came charged so I was able to test it right away with my Spotify playlist it has good bass, it does get loud and for those who are saying it doesn't have good skid ... there's a clear film over the top of the two strips of skid just take that clear film off and then you won't be able to move it at all, if you try sliding it left/right & forward/back. Is an excellent little gizmo for the price. I recommend it 100% And I really appreciate that it came charged. Very easy to use. It fit my Android phone vertically or horizontally perfectly and I'm not concerned that it'll slip off. Perfect for blaring my music while I'm showering, or to take to work out in my garage. I love it! :)
Get it !!! A great gift idea for any music lover (or for viewing on a cell ph), hands free."
5.0 out of 5 stars,Great sound; performed as advertised,"Great sound and performed as advertised, so I bought 3 more.",5 stars,"5 stars. Great sound; performed as advertised. Great sound and performed as advertised, so I bought 3 more."
5.0 out of 5 stars,Jamming mini speaker,"I love this little portable speaker. Despite having multiple TVs in our home, I like to watch my phone, so my husband bought this for Mother’s Day. He normally buys me jewelry, but opted for something semi-techy. Battery life is great. Volume sounds good, and has a perfect little phone holder. 5/5 stars ⭐️",5 stars,"5 stars. Jamming mini speaker. I love this little portable speaker. Despite having multiple TVs in our home, I like to watch my phone, so my husband bought this for Mother’s Day. He normally buys me jewelry, but opted for something semi-techy. Battery life is great. Volume sounds good, and has a perfect little phone holder. 5/5 stars ⭐️"
5.0 out of 5 stars,Great for minimul use,My husband uses this at work and loves the sound quality! It was a great purchase and has been wonderful so far. I will update this if anything changes.,5 stars,5 stars. Great for minimul use. My husband uses this at work and loves the sound quality! It was a great purchase and has been wonderful so far. I will update this if anything changes.
5.0 out of 5 stars,I would reccomend to a friend,Helps me hear when on Facetime calls. Arrived on time and performs as advertised.,5 stars,5 stars. I would reccomend to a friend. Helps me hear when on Facetime calls. Arrived on time and performs as advertised.
5.0 out of 5 stars,Great product,Got for a father's day and it was perfect. Easy to pair and volume is super loud. Not wireless but still pretty nice gift,5 stars,5 stars. Great product. Got for a father's day and it was perfect. Easy to pair and volume is super loud. Not wireless but still pretty nice gift
5.0 out of 5 stars,Husband loves it!,"Sturdy stand and pretty good sound quality, nice volume and clarity.",5 stars,"5 stars. Husband loves it!. Sturdy stand and pretty good sound quality, nice volume and clarity."
5.0 out of 5 stars,My Niece Says It’s Great,"I bought this for her and she said she really likes it. She say it has a nice amount of volume to it and it fits her tablet. Because of her excitement, I bought one too but I haven’t used it yet.",5 stars,"5 stars. My Niece Says It’s Great. I bought this for her and she said she really likes it. She say it has a nice amount of volume to it and it fits her tablet. Because of her excitement, I bought one too but I haven’t used it yet."
5.0 out of 5 stars,This product works well,Phone,5 stars,5 stars. This product works well. Phone
5.0 out of 5 stars,It was a gift,We got this for our grand daughter for her birthday. She was very pleased with it and loves the sound it produces.,5 stars,5 stars. It was a gift. We got this for our grand daughter for her birthday. She was very pleased with it and loves the sound it produces.
5.0 out of 5 stars,Gift,My dad loved it!,5 stars,5 stars. Gift. My dad loved it!
5.0 out of 5 stars,Great sound,"I love this stand and speaker. The sound is good and I like the adjustable stand.
I use it a lot in my off-grid jungle house in Mexico to watch German off-line downloaded movies ;-)
and to listen to the German radio app.",5 stars,"5 stars. Great sound. I love this stand and speaker. The sound is good and I like the adjustable stand.
I use it a lot in my off-grid jungle house in Mexico to watch German off-line downloaded movies ;-)
and to listen to the German radio app."
5.0 out of 5 stars,Great product,Bought as a girt for my husband. He loved it.,5 stars,5 stars. Great product. Bought as a girt for my husband. He loved it.
5.0 out of 5 stars,Great qualify for the price,The sound quality is good and works well for watching a video or listening to music.,5 stars,5 stars. Great qualify for the price. The sound quality is good and works well for watching a video or listening to music.
5.0 out of 5 stars,none,it is ok,5 stars,5 stars. none. it is ok
5.0 out of 5 stars,Portable & Great Sound,I like that it has the stand for your phone and the sound quality of the speaker is good.,5 stars,5 stars. Portable & Great Sound. I like that it has the stand for your phone and the sound quality of the speaker is good.
5.0 out of 5 stars,Good value,Sturdy and solid. Holds phone well. Good volume levels,5 stars,5 stars. Good value. Sturdy and solid. Holds phone well. Good volume levels
5.0 out of 5 stars,My dad loves it!," I got my dad this speaker as a father’s day gift for my dad and he absolutely loves it! The sound quality is really clear and it gets pretty loud.
1000/10",5 stars,"5 stars. My dad loves it!.  I got my dad this speaker as a father’s day gift for my dad and he absolutely loves it! The sound quality is really clear and it gets pretty loud.
1000/10"
5.0 out of 5 stars,Is great sound and very Sturdy,It will hold a large tablet And not fall over even on An unsteady base like a pillow. Is very satisfied. I leave it charging when I'm using it but you Probably don't need to. I don't know how long the battery life is But it seems to be good when I use it without Plugging it in. It uses a c port. My teenage son was jealous when his brother got one For his Birthday.,5 stars,5 stars. Is great sound and very Sturdy. It will hold a large tablet And not fall over even on An unsteady base like a pillow. Is very satisfied. I leave it charging when I'm using it but you Probably don't need to. I don't know how long the battery life is But it seems to be good when I use it without Plugging it in. It uses a c port. My teenage son was jealous when his brother got one For his Birthday.
5.0 out of 5 stars,Made great Father’s Day gift,"My husband loved it, couldn’t wait to use it. He loves to have the TV on while watching (any) game on his phone - so this worked perfect.",5 stars,"5 stars. Made great Father’s Day gift. My husband loved it, couldn’t wait to use it. He loves to have the TV on while watching (any) game on his phone - so this worked perfect."
5.0 out of 5 stars,Easy to operate.Great product!,"Gave this to my husband for Father’s Day. He loves that he can work on his computer, take calls and work on his computer at the same time!",5 stars,"5 stars. Easy to operate.Great product!. Gave this to my husband for Father’s Day. He loves that he can work on his computer, take calls and work on his computer at the same time!"
5.0 out of 5 stars,I love this thing,"I bought this on a lark. Too much time and a credit card. Liquor was not involved however.

I set this up on my office desk. I had been using my phone speaker, but this is much more powerful with better sound.

Controls are simple. On/Off. Hang up. Lower Volume. Higher volume.

I wish it could also make the calls and a few other things.

Hopefully that will be in 2.0.",5 stars,"5 stars. I love this thing. I bought this on a lark. Too much time and a credit card. Liquor was not involved however.

I set this up on my office desk. I had been using my phone speaker, but this is much more powerful with better sound.

Controls are simple. On/Off. Hang up. Lower Volume. Higher volume.

I wish it could also make the calls and a few other things.

Hopefully that will be in 2.0."
5.0 out of 5 stars,Pretty cool,"Bought this for my husband for father’s day, he loved it!!! Its very loud too, we recommend",5 stars,"5 stars. Pretty cool. Bought this for my husband for father’s day, he loved it!!! Its very loud too, we recommend"
5.0 out of 5 stars,Excellent item!,"This is a quality item with good sound quality, especially for the price. I’m buying a second to use at my office.",5 stars,"5 stars. Excellent item!. This is a quality item with good sound quality, especially for the price. I’m buying a second to use at my office."
5.0 out of 5 stars,Love this!,"Love this! My husband always puts a show on his phone when we are in the kitchen cooking, so I thought this would be perfect...and it was! I was impressed by the sound quality, still sounds great even over the loud fan in the kitchen. He also used it at work for background noise and the battery lasted his entire 8 hour shift. I liked it so much that I bought one for my brothers house warming gift basket, and even got his on a lightening deal. I would highly recommend!",5 stars,"5 stars. Love this!. Love this! My husband always puts a show on his phone when we are in the kitchen cooking, so I thought this would be perfect...and it was! I was impressed by the sound quality, still sounds great even over the loud fan in the kitchen. He also used it at work for background noise and the battery lasted his entire 8 hour shift. I liked it so much that I bought one for my brothers house warming gift basket, and even got his on a lightening deal. I would highly recommend!"
5.0 out of 5 stars,Easy to carry around,To listen to music. My husband used all day out side,5 stars,5 stars. Easy to carry around. To listen to music. My husband used all day out side
5.0 out of 5 stars,Buy it!,"Purchased this for my boyfriend for Christmas! He was so excited when he opened it. The sound is great, actually pretty loud for a small speaker and clear. The only problem I encountered was, I set my phone on it as shown on the box and picture and it started to topple back. I may have a heavier phone than most but it did hold his. No issues if I turned my phone to the side though. I'm glad I bought this and would recommend it to everyone! Worth the money for sure!",5 stars,"5 stars. Buy it!. Purchased this for my boyfriend for Christmas! He was so excited when he opened it. The sound is great, actually pretty loud for a small speaker and clear. The only problem I encountered was, I set my phone on it as shown on the box and picture and it started to topple back. I may have a heavier phone than most but it did hold his. No issues if I turned my phone to the side though. I'm glad I bought this and would recommend it to everyone! Worth the money for sure!"
5.0 out of 5 stars,Excellent,Excellent,5 stars,5 stars. Excellent. Excellent
5.0 out of 5 stars,Love it!,"Got it for my boyfriend as a bday gift and he loves it! Mainly uses just to prop up his phone when watching videos, but very useful!",5 stars,"5 stars. Love it!. Got it for my boyfriend as a bday gift and he loves it! Mainly uses just to prop up his phone when watching videos, but very useful!"
5.0 out of 5 stars,Great for in the Kitchen!,"I got this as a gift for my husband so he can watch his UFC fights and Football on it. However, I've been using it more than him. It is so great!! I watch episodes of Law and Order: SVU while I am in the kitchen cooking or cleaning. I have a pretty busy schedule as it is and so I have very little time to myself at the end of each day. But I love that I am able to watch my show and be in the kitchen at the same time. It has an adjustable stand and the volume is pretty great. It has a long battery life, I've been using it for almost two weeks now and haven't needed to charge it yet. I love this little device!!",5 stars,"5 stars. Great for in the Kitchen!. I got this as a gift for my husband so he can watch his UFC fights and Football on it. However, I've been using it more than him. It is so great!! I watch episodes of Law and Order: SVU while I am in the kitchen cooking or cleaning. I have a pretty busy schedule as it is and so I have very little time to myself at the end of each day. But I love that I am able to watch my show and be in the kitchen at the same time. It has an adjustable stand and the volume is pretty great. It has a long battery life, I've been using it for almost two weeks now and haven't needed to charge it yet. I love this little device!!"
5.0 out of 5 stars,good value,to put on desk,5 stars,5 stars. good value. to put on desk
5.0 out of 5 stars,Super Sound,This device holds your phone extremely well and has amazing volume!,5 stars,5 stars. Super Sound. This device holds your phone extremely well and has amazing volume!
5.0 out of 5 stars,Great Speaker,"Good overall sound quality. Easy to use and connect to..
Highly recommended..",5 stars,"5 stars. Great Speaker. Good overall sound quality. Easy to use and connect to..
Highly recommended.."
5.0 out of 5 stars,Exellent Speaker,I love this speaker. Very practical. Nice clear sound.,5 stars,5 stars. Exellent Speaker. I love this speaker. Very practical. Nice clear sound.
5.0 out of 5 stars,It’s wonderful! Birthday gift for my husband. He loves it.,Nothing,5 stars,5 stars. It’s wonderful! Birthday gift for my husband. He loves it.. Nothing
