Rating Star,Title,Body,Star only,Body with star,Preprocessed_Body,Sentiment_Label,Sentiment_Score
5.0 out of 5 stars,It works great!,It holds my phone with heavy protector..,5 stars,5 stars. It works great!. It holds my phone with heavy protector..,5 stars it works great it holds my phone with heavy protector ..,4.0,0.9877108931541443
5.0 out of 5 stars,JTEMAN Phone stand and BT speaker,I just received this phone stand and speaker combo today and it is well worth the money. Holds my phone just fine and the speaker sounds very good and it is loud enough that I can hear it from across the room. I think it would make a very nice gift!,5 stars,5 stars. JTEMAN Phone stand and BT speaker. I just received this phone stand and speaker combo today and it is well worth the money. Holds my phone just fine and the speaker sounds very good and it is loud enough that I can hear it from across the room. I think it would make a very nice gift!,5 stars jteman phone stand and bt speaker i just received this phone stand and speaker combo today and it is well worth the money holds my phone just fine and the speaker sounds very good and it is loud enough that i can hear it from across the room i think it would make a very nice gift,4.0,0.959372341632843
5.0 out of 5 stars,Great for people who watch on their phone,I bought for my grandmother because she watched her soaps on her phone. The Bluetooth speaker connects easily and it's sound is clear and loud. The battery lasts long if you turn it off when you are done. It's a great gift for just about everyone.,5 stars,5 stars. Great for people who watch on their phone. I bought for my grandmother because she watched her soaps on her phone. The Bluetooth speaker connects easily and it's sound is clear and loud. The battery lasts long if you turn it off when you are done. It's a great gift for just about everyone.,5 stars great for people who watch on their phone i bought for my grandmother because she watched her soaps on her phone the bluetooth speaker connects easily and it 's sound is clear and loud the battery lasts long if you turn it off when you are done it 's a great gift for just about everyone,4.0,0.9756883978843689
5.0 out of 5 stars,"Hear ye, hear ye!!",This lil gizmo actually works!! Have had this and use it almost daily. Hubs can actually hear a video now AND it even allows for charging while watching!!! Great value.,5 stars,"5 stars. Hear ye, hear ye!!. This lil gizmo actually works!! Have had this and use it almost daily. Hubs can actually hear a video now AND it even allows for charging while watching!!! Great value.",5 stars hear ye hear ye this lil gizmo actually works have had this and use it almost daily hubs can actually hear a video now and it even allows for charging while watching great value,4.0,0.9807974100112915
5.0 out of 5 stars,good product - good sound quality,I ordered this bluetooth speaker cell phone stand because my iPhone alarm for some reason was not producing a loud enough sound to wake me up. I connected this stand/speaker to my iPhone via bluetooth and now I am awakened by one of my favorite songs and at a level that wakes me up. I was surprised at how good the sound quality is too. I highly recommend this stand/speaker device.,5 stars,5 stars. good product - good sound quality. I ordered this bluetooth speaker cell phone stand because my iPhone alarm for some reason was not producing a loud enough sound to wake me up. I connected this stand/speaker to my iPhone via bluetooth and now I am awakened by one of my favorite songs and at a level that wakes me up. I was surprised at how good the sound quality is too. I highly recommend this stand/speaker device.,5 stars good product good sound quality i ordered this bluetooth speaker cell phone stand because my iphone alarm for some reason was not producing a loud enough sound to wake me up i connected this stand/speaker to my iphone via bluetooth and now i am awakened by one of my favorite songs and at a level that wakes me up i was surprised at how good the sound quality is too i highly recommend this stand/speaker device,4.0,0.9665268063545227
5.0 out of 5 stars,Honestly great,This was unexpectedly great quality,5 stars,5 stars. Honestly great. This was unexpectedly great quality,5 stars honestly great this was unexpectedly great quality,4.0,0.9868558049201965
5.0 out of 5 stars,Great Product,"Bought this on Prime Day 2023 and use it almost daily at work. The speaker works great and the Bluetooth mode is easy to follow. Only issue I have is that the stand doesn't hold much weight. My phone has a heavier case on it so it sags a little sometimes but I can usually adjust the stand to hold the phone upright. The battery life is also amazing! I use it for 5 days a week, roughly 6-7 hours a day and only need to charge it twice. Great little speaker/stand.",5 stars,"5 stars. Great Product. Bought this on Prime Day 2023 and use it almost daily at work. The speaker works great and the Bluetooth mode is easy to follow. Only issue I have is that the stand doesn't hold much weight. My phone has a heavier case on it so it sags a little sometimes but I can usually adjust the stand to hold the phone upright. The battery life is also amazing! I use it for 5 days a week, roughly 6-7 hours a day and only need to charge it twice. Great little speaker/stand.",5 stars great product bought this on prime day 2023 and use it almost daily at work the speaker works great and the bluetooth mode is easy to follow only issue i have is that the stand does n't hold much weight my phone has a heavier case on it so it sags a little sometimes but i can usually adjust the stand to hold the phone upright the battery life is also amazing i use it for 5 days a week roughly 6-7 hours a day and only need to charge it twice great little speaker/stand,4.0,0.9241167902946472
5.0 out of 5 stars,Louder than you think. Very impressive sound quality!,Buy this product and you won't be disappointed... by the price or the quality! Awesome find!!,5 stars,5 stars. Louder than you think. Very impressive sound quality!. Buy this product and you won't be disappointed... by the price or the quality! Awesome find!!,5 stars louder than you think very impressive sound quality buy this product and you wo n't be disappointed ... by the price or the quality awesome find,4.0,0.976031482219696
5.0 out of 5 stars,Nice holder with good sound.,The speaker for this sounds great! I was very surprised and happy with this.,5 stars,5 stars. Nice holder with good sound.. The speaker for this sounds great! I was very surprised and happy with this.,5 stars nice holder with good sound .. the speaker for this sounds great i was very surprised and happy with this,4.0,0.9818372130393982
5.0 out of 5 stars,Excellent sound for videos,Never heard of the brand. Surprisingly good sound for the price. Bought one for my mother in law!,5 stars,5 stars. Excellent sound for videos. Never heard of the brand. Surprisingly good sound for the price. Bought one for my mother in law!,5 stars excellent sound for videos never heard of the brand surprisingly good sound for the price bought one for my mother in law,4.0,0.9768800735473633
5.0 out of 5 stars,No Issues!,My wife loves it! She has it on her work desk for business calls and sneaks in a YouTube video when possible. The Bluetooth connects easily.,5 stars,5 stars. No Issues!. My wife loves it! She has it on her work desk for business calls and sneaks in a YouTube video when possible. The Bluetooth connects easily.,5 stars no issues my wife loves it she has it on her work desk for business calls and sneaks in a youtube video when possible the bluetooth connects easily,4.0,0.9697391390800476
5.0 out of 5 stars,Clear sound..,I watch movies on my phone and this little stand has made the experience so much better. The Bluetooth works well and the speakers are clear and loud.,5 stars,5 stars. Clear sound... I watch movies on my phone and this little stand has made the experience so much better. The Bluetooth works well and the speakers are clear and loud.,5 stars clear sound ... i watch movies on my phone and this little stand has made the experience so much better the bluetooth works well and the speakers are clear and loud,4.0,0.9715855121612549
5.0 out of 5 stars,Turns out this is a pretty nifty item,"I bought this for my husband as a last-ditch attempt to find him a present that he could use and would work well for him, but I wasn't sure. It turns out that he really likes the ability to have the phone upright and out of his hands, the sound is really good (and his hearing aids have Blue Tooth availability as well). He also found that the Blue Tooth speaker ability is great for listening music when we're traveling away from home and in a hotel. We agree that the sound quality is great as well.",5 stars,"5 stars. Turns out this is a pretty nifty item. I bought this for my husband as a last-ditch attempt to find him a present that he could use and would work well for him, but I wasn't sure. It turns out that he really likes the ability to have the phone upright and out of his hands, the sound is really good (and his hearing aids have Blue Tooth availability as well). He also found that the Blue Tooth speaker ability is great for listening music when we're traveling away from home and in a hotel. We agree that the sound quality is great as well.",5 stars turns out this is a pretty nifty item i bought this for my husband as a last-ditch attempt to find him a present that he could use and would work well for him but i was n't sure it turns out that he really likes the ability to have the phone upright and out of his hands the sound is really good and his hearing aids have blue tooth availability as well he also found that the blue tooth speaker ability is great for listening music when we 're traveling away from home and in a hotel we agree that the sound quality is great as well,4.0,0.6620858907699585
5.0 out of 5 stars,Great Gift Item!,Works as expected.,5 stars,5 stars. Great Gift Item!. Works as expected.,5 stars great gift item works as expected,4.0,0.9861730933189392
5.0 out of 5 stars,Best Buy!,"I love this speaker ! It does what I need it's louder then a lot of others on the market.
My classroom loves it!",5 stars,"5 stars. Best Buy!. I love this speaker ! It does what I need it's louder then a lot of others on the market.
My classroom loves it!",5 stars best buy i love this speaker it does what i need it 's louder then a lot of others on the market my classroom loves it,4.0,0.9904436469078064
5.0 out of 5 stars,Cellphone Speaker,"Was a gift, Nice , Sound Is Nice And Loud, And Clear, Holds Cellphone Good",5 stars,"5 stars. Cellphone Speaker. Was a gift, Nice , Sound Is Nice And Loud, And Clear, Holds Cellphone Good",5 stars cellphone speaker was a gift nice sound is nice and loud and clear holds cellphone good,4.0,0.9769130945205688
5.0 out of 5 stars,It's small and easy to use.,I like the operation of this item and it's mobile to use anywhere.,5 stars,5 stars. It's small and easy to use.. I like the operation of this item and it's mobile to use anywhere.,5 stars it 's small and easy to use .. i like the operation of this item and it 's mobile to use anywhere,4.0,0.9756029844284058
5.0 out of 5 stars,Great gift for my hubby!,"I got this for my husband because he always sits in the kitchen with me while I am cooking, so, now he sits there and watches his whatever on this stand! It is very useful!",5 stars,"5 stars. Great gift for my hubby!. I got this for my husband because he always sits in the kitchen with me while I am cooking, so, now he sits there and watches his whatever on this stand! It is very useful!",5 stars great gift for my hubby i got this for my husband because he always sits in the kitchen with me while i am cooking so now he sits there and watches his whatever on this stand it is very useful,4.0,0.9784412384033203
5.0 out of 5 stars,Works great,"I bought this gift for my son in laws birthday. It came early and works great. Great sound, holds the phone well and he really loves it. So do the grandkids when they try and sneak it away from him. I am ordering another one for my husband",5 stars,"5 stars. Works great. I bought this gift for my son in laws birthday. It came early and works great. Great sound, holds the phone well and he really loves it. So do the grandkids when they try and sneak it away from him. I am ordering another one for my husband",5 stars works great i bought this gift for my son in laws birthday it came early and works great great sound holds the phone well and he really loves it so do the grandkids when they try and sneak it away from him i am ordering another one for my husband,4.0,0.9777835011482239
5.0 out of 5 stars,Repeat purchaser,"This speaker is compact and puts out a lot of sound.
I’m a repeat purchaser.",5 stars,"5 stars. Repeat purchaser. This speaker is compact and puts out a lot of sound.
I’m a repeat purchaser.",5 stars repeat purchaser this speaker is compact and puts out a lot of sound i ’ m a repeat purchaser,4.0,0.9814460873603821
5.0 out of 5 stars,Works Great!!!,"Boosts the volume from my phone, works great!",5 stars,"5 stars. Works Great!!!. Boosts the volume from my phone, works great!",5 stars works great boosts the volume from my phone works great,4.0,0.9894054532051086
5.0 out of 5 stars,It works!,"I lost the hearing in my left ear. I ordered this item and it came through quickly. Recommended by a friend. It works well - loud, the only issue is the cord is to short. It needs to be 2 or 3 times as long as I need to get it around to a small table on my left side. If I put it directly behind me, it splits the sound and I can hear well. It works great with videos. Very loud I haven’t figured out yet how to answer a call. I guess I will soon. One of the buttons magnifies the callers voice. If you put your cellphone on the tray, the sounds fills the whole room.",5 stars,"5 stars. It works!. I lost the hearing in my left ear. I ordered this item and it came through quickly. Recommended by a friend. It works well - loud, the only issue is the cord is to short. It needs to be 2 or 3 times as long as I need to get it around to a small table on my left side. If I put it directly behind me, it splits the sound and I can hear well. It works great with videos. Very loud I haven’t figured out yet how to answer a call. I guess I will soon. One of the buttons magnifies the callers voice. If you put your cellphone on the tray, the sounds fills the whole room.",5 stars it works i lost the hearing in my left ear i ordered this item and it came through quickly recommended by a friend it works well loud the only issue is the cord is to short it needs to be 2 or 3 times as long as i need to get it around to a small table on my left side if i put it directly behind me it splits the sound and i can hear well it works great with videos very loud i haven ’ t figured out yet how to answer a call i guess i will soon one of the buttons magnifies the callers voice if you put your cellphone on the tray the sounds fills the whole room,4.0,0.6031168699264526
5.0 out of 5 stars,Works Excellent!,"I bought this for my son who is hard of hearing. He loves it. After reading many reviews and for the price I thought, Why not. The bluetooth speaker gets really loud and the hands free stand is sturdy. I am not exactly sure how long the charge holds but I recommend this amazing tool. If this is an item you may have been thinking about purchasing for yourself or someone else, I say go for it!",5 stars,"5 stars. Works Excellent!. I bought this for my son who is hard of hearing. He loves it. After reading many reviews and for the price I thought, Why not. The bluetooth speaker gets really loud and the hands free stand is sturdy. I am not exactly sure how long the charge holds but I recommend this amazing tool. If this is an item you may have been thinking about purchasing for yourself or someone else, I say go for it!",5 stars works excellent i bought this for my son who is hard of hearing he loves it after reading many reviews and for the price i thought why not the bluetooth speaker gets really loud and the hands free stand is sturdy i am not exactly sure how long the charge holds but i recommend this amazing tool if this is an item you may have been thinking about purchasing for yourself or someone else i say go for it,4.0,0.9639204144477844
5.0 out of 5 stars,Great surprise,I am so glad I took a chance on this. It’s really a great little speaker for my phone to listen to music or movie or speak to someone while working in the kitchen. It has great volume for such a small unit. Worth the price.,5 stars,5 stars. Great surprise. I am so glad I took a chance on this. It’s really a great little speaker for my phone to listen to music or movie or speak to someone while working in the kitchen. It has great volume for such a small unit. Worth the price.,5 stars great surprise i am so glad i took a chance on this it ’ s really a great little speaker for my phone to listen to music or movie or speak to someone while working in the kitchen it has great volume for such a small unit worth the price,4.0,0.9830977320671082
5.0 out of 5 stars,That it works,Great stand w speaker,5 stars,5 stars. That it works. Great stand w speaker,5 stars that it works great stand w speaker,4.0,0.975840151309967
5.0 out of 5 stars,I'll,Wonderful products,5 stars,5 stars. I'll. Wonderful products,5 stars i 'll wonderful products,4.0,0.9902472496032715
5.0 out of 5 stars,Love this,Works perfectly. Didn't realize how much I needed this. Great value.,5 stars,5 stars. Love this. Works perfectly. Didn't realize how much I needed this. Great value.,5 stars love this works perfectly did n't realize how much i needed this great value,4.0,0.9899175763130188
5.0 out of 5 stars,15 year old approved,Bought this as a present for my 15 year old son for his birthday. He said it was louder than some larger speakers he has. Awesome purchase for him.,5 stars,5 stars. 15 year old approved. Bought this as a present for my 15 year old son for his birthday. He said it was louder than some larger speakers he has. Awesome purchase for him.,5 stars 15 year old approved bought this as a present for my 15 year old son for his birthday he said it was louder than some larger speakers he has awesome purchase for him,4.0,0.9686144590377808
5.0 out of 5 stars,So convenient!,"I bought this as a gift for my father. My parents are elderly and my mother doesn’t drive, so my father has to drive her to all of her appointments and whenever she wants to go shopping. He likes to stay in the car and read a book or watch TV on his phone, this allows him to hear better, plus he can set the phone down on the car dash on this stand and watch it at a comfortable angle for his neck.",5 stars,"5 stars. So convenient!. I bought this as a gift for my father. My parents are elderly and my mother doesn’t drive, so my father has to drive her to all of her appointments and whenever she wants to go shopping. He likes to stay in the car and read a book or watch TV on his phone, this allows him to hear better, plus he can set the phone down on the car dash on this stand and watch it at a comfortable angle for his neck.",5 stars so convenient i bought this as a gift for my father my parents are elderly and my mother doesn ’ t drive so my father has to drive her to all of her appointments and whenever she wants to go shopping he likes to stay in the car and read a book or watch tv on his phone this allows him to hear better plus he can set the phone down on the car dash on this stand and watch it at a comfortable angle for his neck,4.0,0.97552490234375
5.0 out of 5 stars,For the price great gift, This was a father's day gift for apop like person in my life. I am a gadget techy person. So I tend to give those same types of gifts. I tried this and it was amazing I had it in my bedroom and walked in my living room about 45feet and still clearly heard the song. It was an easy Bluetooth set up. Just like you would any other Bluetooth device. The charger is standard USB to USB c. I would recommend a a gift and I will buy another one for myself as well.,5 stars,5 stars. For the price great gift.  This was a father's day gift for apop like person in my life. I am a gadget techy person. So I tend to give those same types of gifts. I tried this and it was amazing I had it in my bedroom and walked in my living room about 45feet and still clearly heard the song. It was an easy Bluetooth set up. Just like you would any other Bluetooth device. The charger is standard USB to USB c. I would recommend a a gift and I will buy another one for myself as well.,5 stars for the price great gift this was a father 's day gift for apop like person in my life i am a gadget techy person so i tend to give those same types of gifts i tried this and it was amazing i had it in my bedroom and walked in my living room about 45feet and still clearly heard the song it was an easy bluetooth set up just like you would any other bluetooth device the charger is standard usb to usb c. i would recommend a a gift and i will buy another one for myself as well,4.0,0.9459370970726013
5.0 out of 5 stars,good!,i bought this for my mom and i regret it. she blasts her true crime through it every day and it’s SO loud 😭 she likes it tho and it works well 🙄,5 stars,5 stars. good!. i bought this for my mom and i regret it. she blasts her true crime through it every day and it’s SO loud 😭 she likes it tho and it works well 🙄,5 stars good i bought this for my mom and i regret it she blasts her true crime through it every day and it ’ s so loud 😭 she likes it tho and it works well 🙄,4.0,0.9652958512306213
5.0 out of 5 stars,Husband approved,Purchased as a gift. Has good sound and he likes that it holds his phone for him too. Good buy!,5 stars,5 stars. Husband approved. Purchased as a gift. Has good sound and he likes that it holds his phone for him too. Good buy!,5 stars husband approved purchased as a gift has good sound and he likes that it holds his phone for him too good buy,4.0,0.9104849100112915
5.0 out of 5 stars,It works,Sound is good for the price.,5 stars,5 stars. It works. Sound is good for the price.,5 stars it works sound is good for the price,4.0,0.9757177233695984
5.0 out of 5 stars,Perfect For Zoom Meetings,"I purchased this as a gift for someone who needed a way to position their phone for work related Zoom meetings. There are a number of solutions for holding phones at an angle of choice, but this is simply the best and easiest way. It's so easy to tilt the phone holder, and you don't have to swivel as this device can be picked up or slid to face any direction. It may not be as elegant as some elaborate phone holders, but it works the best with the least fuss. Also, the Bluetooth speaker offers better sound than phone speakers. My friend loves it.",5 stars,"5 stars. Perfect For Zoom Meetings. I purchased this as a gift for someone who needed a way to position their phone for work related Zoom meetings. There are a number of solutions for holding phones at an angle of choice, but this is simply the best and easiest way. It's so easy to tilt the phone holder, and you don't have to swivel as this device can be picked up or slid to face any direction. It may not be as elegant as some elaborate phone holders, but it works the best with the least fuss. Also, the Bluetooth speaker offers better sound than phone speakers. My friend loves it.",5 stars perfect for zoom meetings i purchased this as a gift for someone who needed a way to position their phone for work related zoom meetings there are a number of solutions for holding phones at an angle of choice but this is simply the best and easiest way it 's so easy to tilt the phone holder and you do n't have to swivel as this device can be picked up or slid to face any direction it may not be as elegant as some elaborate phone holders but it works the best with the least fuss also the bluetooth speaker offers better sound than phone speakers my friend loves it,4.0,0.9652081727981567
5.0 out of 5 stars,A gift for Hubby!,"He is on his phone constantly for work, so I got him this to make life a little easier!",5 stars,"5 stars. A gift for Hubby!. He is on his phone constantly for work, so I got him this to make life a little easier!",5 stars a gift for hubby he is on his phone constantly for work so i got him this to make life a little easier,4.0,0.9718001484870911
5.0 out of 5 stars,Great Product!,Was very skeptical about just how much this product goes way beyond my expectations for sound quality easily connected to Bluetooth. Great product and worth the price!,5 stars,5 stars. Great Product!. Was very skeptical about just how much this product goes way beyond my expectations for sound quality easily connected to Bluetooth. Great product and worth the price!,5 stars great product was very skeptical about just how much this product goes way beyond my expectations for sound quality easily connected to bluetooth great product and worth the price,4.0,0.9599123597145081
5.0 out of 5 stars,Works great,This is amazing! Definitely does everything it says it will do. My husband literally uses it every single day and his frustration with his phone falling from his make shift stands is gone. The speaker is pretty good quality. Would definitely buy this again.,5 stars,5 stars. Works great. This is amazing! Definitely does everything it says it will do. My husband literally uses it every single day and his frustration with his phone falling from his make shift stands is gone. The speaker is pretty good quality. Would definitely buy this again.,5 stars works great this is amazing definitely does everything it says it will do my husband literally uses it every single day and his frustration with his phone falling from his make shift stands is gone the speaker is pretty good quality would definitely buy this again,4.0,0.9761680960655212
5.0 out of 5 stars,Why didn't I know about this?,"I heard my music coming from another room and it was great. Not shattering but clear. And being able to use the phone without stopping my work, is brilliant! I'm an author and I write, even when the earth shakes. This was a great buy for me.",5 stars,"5 stars. Why didn't I know about this?. I heard my music coming from another room and it was great. Not shattering but clear. And being able to use the phone without stopping my work, is brilliant! I'm an author and I write, even when the earth shakes. This was a great buy for me.",5 stars why did n't i know about this i heard my music coming from another room and it was great not shattering but clear and being able to use the phone without stopping my work is brilliant i 'm an author and i write even when the earth shakes this was a great buy for me,4.0,0.9736133813858032
5.0 out of 5 stars,Great,Works,5 stars,5 stars. Great. Works,5 stars great works,4.0,0.9911675453186035
5.0 out of 5 stars,Gift,This was a gift. They said they really liked it. They are watch a lot of you tube.,5 stars,5 stars. Gift. This was a gift. They said they really liked it. They are watch a lot of you tube.,5 stars gift this was a gift they said they really liked it they are watch a lot of you tube,4.0,0.9747036695480347
5.0 out of 5 stars,Great Product,This is an awesome product,5 stars,5 stars. Great Product. This is an awesome product,5 stars great product this is an awesome product,4.0,0.9908785223960876
5.0 out of 5 stars,Use daily,This was a great buy.,5 stars,5 stars. Use daily. This was a great buy.,5 stars use daily this was a great buy,4.0,0.9863404035568237
5.0 out of 5 stars,Speak and cell phone holder,Speaker quality should be improved,5 stars,5 stars. Speak and cell phone holder. Speaker quality should be improved,5 stars speak and cell phone holder speaker quality should be improved,4.0,0.9714557528495789
5.0 out of 5 stars,Muy bueno,Es muy bueno se oye muy bien y es exelente material lo recomiendo al 100% gracias,5 stars,5 stars. Muy bueno. Es muy bueno se oye muy bien y es exelente material lo recomiendo al 100% gracias,5 stars muy bueno es muy bueno se oye muy bien y es exelente material lo recomiendo al 100 gracias,4.0,0.9857675433158875
5.0 out of 5 stars,Better than I imagined,"I saw this unit last week, and thought that I would give it a try after reading the reviews. And let me say it has not disappointed me! The sound quality is very good! I have not tested the battery life as of yet, but when I do, I will update my review! & Yes! I do recommend this product!",5 stars,"5 stars. Better than I imagined. I saw this unit last week, and thought that I would give it a try after reading the reviews. And let me say it has not disappointed me! The sound quality is very good! I have not tested the battery life as of yet, but when I do, I will update my review! & Yes! I do recommend this product!",5 stars better than i imagined i saw this unit last week and thought that i would give it a try after reading the reviews and let me say it has not disappointed me the sound quality is very good i have not tested the battery life as of yet but when i do i will update my review yes i do recommend this product,4.0,0.9466719627380371
5.0 out of 5 stars,White elephant gift,This was a sought after gift and I will get again for another white elephant event,5 stars,5 stars. White elephant gift. This was a sought after gift and I will get again for another white elephant event,5 stars white elephant gift this was a sought after gift and i will get again for another white elephant event,4.0,0.9764179587364197
5.0 out of 5 stars,Great small device,"This was a gift for another person, they said it had great sound.",5 stars,"5 stars. Great small device. This was a gift for another person, they said it had great sound.",5 stars great small device this was a gift for another person they said it had great sound,4.0,0.9703393578529358
5.0 out of 5 stars,"Really, really good sound",Very compact and light weight with a superb sound and volume from a very small unit. Good quality construction and priced well below others of lesser quality!,5 stars,"5 stars. Really, really good sound. Very compact and light weight with a superb sound and volume from a very small unit. Good quality construction and priced well below others of lesser quality!",5 stars really really good sound very compact and light weight with a superb sound and volume from a very small unit good quality construction and priced well below others of lesser quality,4.0,0.9703102707862854
5.0 out of 5 stars,I highly recommend great quality for the Price,I have absolutely enjoyed my Bluetooth phone stand ! After my friends seen Mines they fell in love with it and wanted me to order them one .I ended up ordering 4 ! Best item I've invested in all year !,5 stars,5 stars. I highly recommend great quality for the Price. I have absolutely enjoyed my Bluetooth phone stand ! After my friends seen Mines they fell in love with it and wanted me to order them one .I ended up ordering 4 ! Best item I've invested in all year !,5 stars i highly recommend great quality for the price i have absolutely enjoyed my bluetooth phone stand after my friends seen mines they fell in love with it and wanted me to order them one .i ended up ordering 4 best item i 've invested in all year,4.0,0.9792394638061523
5.0 out of 5 stars,Great gift!,I got this as a gift for my hubby’s birthday. He loves it & says the sound is really good!,5 stars,5 stars. Great gift!. I got this as a gift for my hubby’s birthday. He loves it & says the sound is really good!,5 stars great gift i got this as a gift for my hubby ’ s birthday he loves it says the sound is really good,4.0,0.9828218817710876
5.0 out of 5 stars,Speaker,Speaker get loud . I love it.,5 stars,5 stars. Speaker. Speaker get loud . I love it.,5 stars speaker speaker get loud i love it,4.0,0.9868398904800415
5.0 out of 5 stars,Perfect for what I needed!,"Came charged so I was able to test it right away with my Spotify playlist it has good bass, it does get loud and for those who are saying it doesn't have good skid ... there's a clear film over the top of the two strips of skid just take that clear film off and then you won't be able to move it at all, if you try sliding it left/right & forward/back. Is an excellent little gizmo for the price. I recommend it 100% And I really appreciate that it came charged. Very easy to use. It fit my Android phone vertically or horizontally perfectly and I'm not concerned that it'll slip off. Perfect for blaring my music while I'm showering, or to take to work out in my garage. I love it! :)
Get it !!! A great gift idea for any music lover (or for viewing on a cell ph), hands free.",5 stars,"5 stars. Perfect for what I needed!. Came charged so I was able to test it right away with my Spotify playlist it has good bass, it does get loud and for those who are saying it doesn't have good skid ... there's a clear film over the top of the two strips of skid just take that clear film off and then you won't be able to move it at all, if you try sliding it left/right & forward/back. Is an excellent little gizmo for the price. I recommend it 100% And I really appreciate that it came charged. Very easy to use. It fit my Android phone vertically or horizontally perfectly and I'm not concerned that it'll slip off. Perfect for blaring my music while I'm showering, or to take to work out in my garage. I love it! :)
Get it !!! A great gift idea for any music lover (or for viewing on a cell ph), hands free.",5 stars perfect for what i needed came charged so i was able to test it right away with my spotify playlist it has good bass it does get loud and for those who are saying it does n't have good skid ... there 's a clear film over the top of the two strips of skid just take that clear film off and then you wo n't be able to move it at all if you try sliding it left/right forward/back is an excellent little gizmo for the price i recommend it 100 and i really appreciate that it came charged very easy to use it fit my android phone vertically or horizontally perfectly and i 'm not concerned that it 'll slip off perfect for blaring my music while i 'm showering or to take to work out in my garage i love it get it a great gift idea for any music lover or for viewing on a cell ph hands free,4.0,0.9574078917503357
5.0 out of 5 stars,Great sound; performed as advertised,"Great sound and performed as advertised, so I bought 3 more.",5 stars,"5 stars. Great sound; performed as advertised. Great sound and performed as advertised, so I bought 3 more.",5 stars great sound performed as advertised great sound and performed as advertised so i bought 3 more,4.0,0.9777919054031372
